tari,0,1,2,3,4
Alba,C1,C2,C3,C5,C4
Arad,C3,C1,C4,C2,C5
Arges,C2,C1,C3,C4,C5
Bacau,C1,C2,C3,C4,C5
Bihor,C1,C2,C3,C5,C4
Bistrita-Nasaud,C1,C2,C4,C3,C5
Botosani,C1,C3,C5,C2,C4
Brasov,C1,C3,C2,C4,C5
Braila,C1,C2,C4,C3,C5
Buzau,C2,C3,C1,C5,C4
Caras-Severin,C1,C5,C3,C4,C2
Calarasi,C1,C4,C3,C2,C5
Cluj,C1,C2,C3,C4,C5
Constanta,C1,C2,C5,C3,C4
Covasna,C1,C2,C3,C4,C5
Dambovita,C2,C3,C1,C4,C5
Dolj,C2,C1,C3,C5,C4
Galati,C2,C1,C5,C3,C4
Giurgiu,C1,C3,C5,C2,C4
Gorj,C1,C3,C2,C5,C4
Harghita,C1,C2,C3,C5,C4
Hunedoara,C2,C1,C3,C4,C5
Ialomita,C1,C2,C3,C5,C4
Iasi,C1,C2,C4,C3,C5
Ilfov,C2,C3,C5,C1,C4
Maramures,C1,C2,C3,C4,C5
Mehedinti,C1,C3,C5,C2,C4
Mures,C1,C5,C3,C2,C4
Neamt,C2,C3,C4,C1,C5
Olt,C2,C1,C3,C4,C5
Prahova,C2,C1,C4,C3,C5
Satu Mare,C2,C4,C1,C3,C5
Salaj,C1,C2,C4,C3,C5
Sibiu,C1,C2,C4,C3,C5
Suceava,C1,C2,C4,C3,C5
Teleorman,C2,C1,C4,C5,C3
Timis,C1,C2,C3,C4,C5
Tulcea,C1,C2,C3,C5,C4
Vaslui,C1,C2,C4,C5,C3
Valcea,C1,C2,C3,C4,C5
Vrancea,C1,C3,C4,C5,C2
Municipiul Bucuresti,C1,C2,C3,C5,C4
